id,PGA,PGV,PGD,NOMBRE_SIS,NOMBRE_SENSOR,N_SIS,DIRECCION,PATH_DIR_ORG,PATH_DIR_PROCES1,DT,N_POINTS_PROCES1,CORTE1,CORTE2,PATH_DIR_PROCES2,DT_PROCES2,N_POINTS_PROCES2
576,-114.4055,-8.3775,-0.7396,Northridge,LA00072P,289,S75E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00072P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/289_S75E.T1,0.02,2267,159,1941,Registros_Sismicos_Proces2/Northridge/289_S75E.T1,0.02,1782
577,92.1022,7.54755,-0.69829,Northridge,LA00072P,289,N15E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00072P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/289_N15E.T1,0.02,2261,159,1941,Registros_Sismicos_Proces2/Northridge/289_N15E.T1,0.02,1782
578,-47.19199,3.57205,0.78806,Northridge,LA00073P,290,S50W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00073P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/290_S50W.T1,0.02,2552,134,2373,Registros_Sismicos_Proces2/Northridge/290_S50W.T1,0.02,2239
579,73.72083,4.97578,-0.74219,Northridge,LA00073P,290,S40E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00073P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/290_S40E.T1,0.02,2550,134,2373,Registros_Sismicos_Proces2/Northridge/290_S40E.T1,0.02,2239
580,-198.233,-10.11492,1.0951799999999998,Northridge,LA00074P,291,N90E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00074P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/291_N90E.T1,0.02,2045,128,1901,Registros_Sismicos_Proces2/Northridge/291_N90E.T1,0.02,1773
581,105.0207,-7.917089999999999,1.1630200000000002,Northridge,LA00074P,291,N00E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00074P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/291_N00E.T1,0.02,2045,128,1901,Registros_Sismicos_Proces2/Northridge/291_N00E.T1,0.02,1773
582,43.32273,3.04867,0.47621,Northridge,LA00075P,292,N90E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00075P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/292_N90E.T1,0.02,1671,34,1609,Registros_Sismicos_Proces2/Northridge/292_N90E.T1,0.02,1575
583,-72.69799,-6.4814300000000005,1.01369,Northridge,LA00075P,292,N00E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00075P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/292_N00E.T1,0.02,1673,34,1609,Registros_Sismicos_Proces2/Northridge/292_N00E.T1,0.02,1575
584,-128.6736,-7.9958399999999985,0.90707,Northridge,LA00077P,293,S60E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00077P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/293_S60E.T1,0.02,2409,145,2121,Registros_Sismicos_Proces2/Northridge/293_S60E.T1,0.02,1976
585,-131.3286,8.084660000000001,-1.14037,Northridge,LA00077P,293,N30E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00077P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/293_N30E.T1,0.02,2402,145,2121,Registros_Sismicos_Proces2/Northridge/293_N30E.T1,0.02,1976
