id,#N_Pisos,N_VanosX,N_VanosY,H_Pisos,L_VanoX,L_VanoY,H_VigaX,B_VigaX,H_VigaY,B_VigaY,H_Colum,B_Colum,T
179,3.0,5.0,5.0,2.5,4.0,6.0,0.4,0.25,0.6,0.3,0.475,0.475,0.36212366930640266
180,3.0,5.0,6.0,2.5,4.0,6.0,0.4,0.25,0.6,0.3,0.475,0.475,0.36646072070134816
181,3.0,5.0,8.0,2.5,4.0,6.0,0.4,0.25,0.6,0.3,0.475,0.475,0.3721648619120085
182,3.0,5.0,10.0,2.5,4.0,6.0,0.4,0.25,0.6,0.3,0.475,0.475,0.37574969745738673
183,3.0,6.0,6.0,2.5,4.0,6.0,0.4,0.25,0.6,0.3,0.475,0.475,0.3667968431566131
184,3.0,6.0,8.0,2.5,4.0,6.0,0.4,0.25,0.6,0.3,0.475,0.475,0.372513297157866
185,3.0,6.0,10.0,2.5,4.0,6.0,0.4,0.25,0.6,0.3,0.475,0.475,0.3761058158697338
186,3.0,8.0,8.0,2.5,4.0,6.0,0.4,0.25,0.6,0.3,0.475,0.475,0.3729771929784963
187,3.0,8.0,10.0,2.5,4.0,6.0,0.4,0.25,0.6,0.3,0.475,0.475,0.37657970442735345
188,3.0,10.0,10.0,2.5,4.0,6.0,0.4,0.25,0.6,0.3,0.475,0.475,0.3768804303553979
189,3.0,3.0,3.0,2.5,4.0,7.0,0.4,0.25,0.7,0.35,0.55,0.55,0.35281129455996096
190,3.0,3.0,4.0,2.5,4.0,7.0,0.4,0.25,0.7,0.35,0.55,0.55,0.3625603191647667
191,3.0,3.0,5.0,2.5,4.0,7.0,0.4,0.25,0.7,0.35,0.55,0.55,0.36891660713066304
192,3.0,3.0,6.0,2.5,4.0,7.0,0.4,0.25,0.7,0.35,0.6,0.6,0.3470178003816101
193,3.0,3.0,8.0,2.5,4.0,7.0,0.4,0.25,0.7,0.35,0.6,0.6,0.35238652792604264
194,3.0,3.0,10.0,2.5,4.0,7.0,0.4,0.25,0.7,0.35,0.6,0.6,0.35576082161574374
195,3.0,4.0,4.0,2.5,4.0,7.0,0.4,0.25,0.7,0.35,0.55,0.55,0.3626996484854757
196,3.0,4.0,5.0,2.5,4.0,7.0,0.4,0.25,0.7,0.35,0.55,0.55,0.3690757641965079
197,3.0,4.0,6.0,2.5,4.0,7.0,0.4,0.25,0.7,0.35,0.6,0.6,0.34734705949445366
198,3.0,4.0,8.0,2.5,4.0,7.0,0.4,0.25,0.7,0.35,0.6,0.6,0.35273867119600405
199,3.0,4.0,10.0,2.5,4.0,7.0,0.4,0.25,0.7,0.35,0.6,0.6,0.3561272104233867
200,3.0,5.0,5.0,2.5,4.0,7.0,0.4,0.25,0.7,0.35,0.55,0.55,0.3692114439757616
201,3.0,5.0,6.0,2.5,4.0,7.0,0.4,0.25,0.7,0.35,0.6,0.6,0.347585583179295
202,3.0,5.0,8.0,2.5,4.0,7.0,0.4,0.25,0.7,0.35,0.6,0.6,0.35299200120350765
203,3.0,5.0,10.0,2.5,4.0,7.0,0.4,0.25,0.7,0.35,0.6,0.6,0.35638976005886513
204,3.0,6.0,6.0,2.5,4.0,7.0,0.4,0.25,0.7,0.35,0.6,0.6,0.3477639934584262
205,3.0,6.0,8.0,2.5,4.0,7.0,0.4,0.25,0.7,0.35,0.6,0.6,0.3531807783609005
206,3.0,6.0,10.0,2.5,4.0,7.0,0.4,0.25,0.7,0.35,0.6,0.6,0.3565849936543737
207,3.0,8.0,8.0,2.5,4.0,7.0,0.4,0.25,0.7,0.35,0.6,0.6,0.35344143309262865
208,3.0,8.0,10.0,2.5,4.0,7.0,0.4,0.25,0.7,0.35,0.6,0.6,0.3568540964665484
209,3.0,10.0,10.0,2.5,4.0,7.0,0.4,0.25,0.7,0.35,0.6,0.6,0.35703003211510087
210,3.0,3.0,3.0,2.5,5.0,3.0,0.5,0.25,0.3,0.25,0.425,0.425,0.36255119494291055
211,3.0,3.0,4.0,2.5,5.0,3.0,0.5,0.25,0.3,0.25,0.425,0.425,0.3630511387187068
212,3.0,3.0,5.0,2.5,5.0,3.0,0.5,0.25,0.3,0.25,0.425,0.425,0.3633963058515468
213,3.0,3.0,6.0,2.5,5.0,3.0,0.5,0.25,0.3,0.25,0.425,0.425,0.36364748300154237
214,3.0,3.0,8.0,2.5,5.0,3.0,0.5,0.25,0.3,0.25,0.425,0.425,0.3639872764324438
215,3.0,3.0,10.0,2.5,5.0,3.0,0.5,0.25,0.3,0.25,0.425,0.425,0.3642059234107673
216,3.0,4.0,4.0,2.5,5.0,3.0,0.5,0.25,0.3,0.25,0.425,0.425,0.37277559183358033
217,3.0,4.0,5.0,2.5,5.0,3.0,0.5,0.25,0.3,0.25,0.425,0.425,0.37315723377912896
218,3.0,4.0,6.0,2.5,5.0,3.0,0.5,0.25,0.3,0.25,0.425,0.425,0.3734337148270597
219,3.0,4.0,8.0,2.5,5.0,3.0,0.5,0.25,0.3,0.25,0.425,0.425,0.37380632771505135
220,3.0,4.0,10.0,2.5,5.0,3.0,0.5,0.25,0.3,0.25,0.425,0.425,0.37404533761909703
221,3.0,5.0,5.0,2.5,5.0,3.0,0.5,0.25,0.3,0.25,0.425,0.425,0.3795251343757829
222,3.0,5.0,6.0,2.5,5.0,3.0,0.5,0.25,0.3,0.25,0.425,0.425,0.3798178674538982
223,3.0,5.0,8.0,2.5,5.0,3.0,0.5,0.25,0.3,0.25,0.425,0.425,0.38021156326850825
224,3.0,5.0,10.0,2.5,5.0,3.0,0.5,0.25,0.3,0.25,0.425,0.425,0.380463656304598
225,3.0,6.0,6.0,2.5,5.0,3.0,0.5,0.25,0.3,0.25,0.475,0.475,0.35981511442068426
226,3.0,6.0,8.0,2.5,5.0,3.0,0.5,0.25,0.3,0.25,0.475,0.475,0.36017136662274607
227,3.0,6.0,10.0,2.5,5.0,3.0,0.5,0.25,0.3,0.25,0.475,0.475,0.3604007276076901
228,3.0,8.0,8.0,2.5,5.0,3.0,0.5,0.25,0.3,0.25,0.475,0.475,0.36562167924350253
229,3.0,8.0,10.0,2.5,5.0,3.0,0.5,0.25,0.3,0.25,0.475,0.475,0.3658633223039677
